,sname,location,url,type,membership,website,nature
1600,新疆建设职业, 新疆,http://college.gaokao.com/school/1480/, 工科, 新疆维吾尔自治区教育厅, www.xjjszy.net, 高职专科
1601,广东科学技术, 广东,http://college.gaokao.com/school/1533/, 工科, 广东省教育厅, www.gdit.edu.cn, 高职专科
1602,大庆医学高等, 黑龙江,http://college.gaokao.com/school/1535/, 医药, 黑龙江省教育厅, http://dqyz.petrodaqing.com/, 高职专科
1603,安徽城市管理, 安徽,http://college.gaokao.com/school/1539/, 财经, 安徽省教育厅, www.cmoc.cn, 高职专科
1604,闽北职业技术, 福建,http://college.gaokao.com/school/1540/, 综合, 福建省教育厅, www.mbu.cn, 高职专科
1605,闽江师范高等, 福建,http://college.gaokao.com/school/1541/, 师范, ——, www.fzjyxy.com, 高职专科
1606,广东文艺职业, 广东,http://college.gaokao.com/school/1546/, 艺术, 广东省教育厅, www.gdla.edu.cn, 高职专科
1607,广东工程职业, 广东,http://college.gaokao.com/school/1547/, 工科, 广东省教育厅, www.gpc.net.cn, 高职专科
1608,广西警官高等, 广西,http://college.gaokao.com/school/1548/, 政法, 广西壮族自治区教育厅, www.gagx.com.cn, 高职专科
1609,北京经济管理, 北京,http://college.gaokao.com/school/1553/, 财经, 北京市教育委员会, http://www.biem.edu.cn, 高职专科
1610,北京政法职业, 北京,http://college.gaokao.com/school/1554/, 政法, 北京市教育委员会, www.bmcpl.cn, 高职专科
1611,辽宁商贸职业, 辽宁,http://college.gaokao.com/school/1556/, 财经, 辽宁省教育厅, www.lnsmzy.edu.cn, 高职专科
1612,黑龙江生态工, 黑龙江,http://college.gaokao.com/school/1562/, 林业, 黑龙江省教育厅, www.hfmc.net, 高职专科
1613,山东电力高等, 山东,http://college.gaokao.com/school/1564/, 工科, 山东省教育厅, www.sepc.edu.cn, 高职专科
1614,广东行政职业, 广东,http://college.gaokao.com/school/1568/, 综合, 广东省教育厅, www.gdxzzy.cn, 高职专科
1615,重庆民生职业, 重庆,http://college.gaokao.com/school/1572/, 综合, 重庆市教育委员会, www.cqms.edu.cn, 高职专科
1616,北京锡华国际, 北京,http://college.gaokao.com/school/1573/, 综合, ——, http://www.bjxhgjmy.net, 高职专科
1617,石家庄联合技, 河北,http://college.gaokao.com/school/1574/, 工科, ——, ——, 高职专科
1618,保定科技职业, ------,http://college.gaokao.com/school/1575/, 工科, ——, ——, 高职专科
1619,石家庄外事职, 河北,http://college.gaokao.com/school/1576/, 综合, 河北省教育厅, ——, 高职专科
1620,石家庄工商职, 河北,http://college.gaokao.com/school/1577/, 财经, 河北省教育厅, http://www.sjzgszyxy.edu.cn, 高职专科
1621,山西华澳商贸, 山西,http://college.gaokao.com/school/1578/, 财经, 山西省教育厅, www.huaao.sx.cn, 高职专科
1622,山西同文外语, 山西,http://college.gaokao.com/school/1579/, 语言, 山西省教育厅, www.sxtwedu.com, 高职专科
1623,山西老区职业, 山西,http://college.gaokao.com/school/1580/, 综合, ——, http://sxlqzy.cn/, 高职专科
1624,山西信息职业, 山西,http://college.gaokao.com/school/1581/, 工科, 山西省教育厅, www.vcit.cn, 高职专科
1625,山西工商职业, 山西,http://college.gaokao.com/school/1582/, 财经, ——, www.sxtbu.net, 高职专科
1626,内蒙古丰州职, 内蒙古,http://college.gaokao.com/school/1583/, 工科, 内蒙古自治区教育厅, http://www.nmzsxy.comhttp://www.nmgfzzyxy.com, 高职专科
1627,内蒙古经贸外, 内蒙古,http://college.gaokao.com/school/1584/, 语言, 内蒙古自治区教育厅, www.nmgjwy.com, 高职专科
1628,赤峰职业技术, ------,http://college.gaokao.com/school/1585/, 综合, 内蒙古自治区教育厅, www.cfzyjsxy.com, 高职专科
1629,内蒙古北方职, 内蒙古,http://college.gaokao.com/school/1586/, 综合, 内蒙古自治区教育厅, www.nmbfxy.com, 高职专科
1630,内蒙古科技职, 内蒙古,http://college.gaokao.com/school/1587/, 工科, 内蒙古自治区教育厅, http://www.imtvc.cnhttp://www.imtvc.edu.cn, 高职专科
1631,大连翻译职业, ------,http://college.gaokao.com/school/1588/, 语言, 辽宁省教育厅, www.dltcedu.org, 高职专科
1632,辽宁美术职业, 辽宁,http://college.gaokao.com/school/1589/, 艺术, 辽宁省教育厅, http://www.fzcollege.org, 高职专科
1633,锦州商务职业, ------,http://college.gaokao.com/school/1590/, 财经, ——, ——, 高职专科
